sheet,panel,panels,fold,chapter,section,module,content_type,cs_code,title,scan_pages,ocr_path,publish_source
131,1,1,A4,7,optical-deck,,text,CS 7 880,Active tilt control (ATC),131,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-39/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_131.webp
132,1,1,A4,7,vp400-series,,text,,VP400 series - introduction / audio-video signal path,132,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-40/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_132.webp
133,1,2,bifold,7,vp400-series,,figure,CS 7 581,Fig. SP1 - audio/video signal path,133,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-41/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_133.webp
133,2,2,bifold,7,vp400-series,,figure,CS 7 581,Fig. SP1 - audio/video signal path,133,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-41/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_133.webp
134,1,2,bifold,7,vp400-series,,figure,CS 7 882,Fig. CR1 - block diagram control routes,134,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-42/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_134.webp
134,2,2,bifold,7,vp400-series,,figure,CS 7 882,Fig. CR1 - block diagram control routes,134,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-42/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_134.webp
135,1,1,A4,7,vp400-series,,figure,,Fig. CR2 - start-up sequence,135,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-43/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_135.webp
136,1,2,bifold,7,vp400-series,,text,CS 7 883,Control routes / S-bus / constraints on operation,136,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-44/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_136.webp
136,2,2,bifold,7,vp400-series,,text,CS 7 883,Control routes / S-bus / constraints on operation,136,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-44/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_136.webp
137,1,2,bifold,7,vp400-series,,figure,CS 8 123,Fig. SE1 - block diagram servo,137,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-45/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_137.webp
